pps,bps,avg_size,tcp_ratio,udp_ratio,icmp_ratio,label
1,77,77.0,0.0,1.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
1,384,384.0,0.0,1.0,0.0,0
3,192,64.0,1.0,0.0,0.0,0
2,132,66.0,1.0,0.0,0.0,0
3,428,142.66666666666666,1.0,0.0,0.0,0
3,382,127.33333333333333,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
1,384,384.0,0.0,1.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
1,384,384.0,0.0,1.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
2,477,238.5,0.0,1.0,0.0,0
4,1014,253.5,0.0,1.0,0.0,0
1,384,384.0,0.0,1.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
18,4077,226.5,0.0,1.0,0.0,0
7,680,97.14285714285714,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,514,102.8,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
