pps,bps,avg_size,tcp_ratio,udp_ratio,icmp_ratio,label
7,3010,430.0,1.0,0.0,0.0,0
7,2174,310.57,1.0,0.0,0.0,0
6,1029,171.5,0.0,1.0,0.0,0
8,3070,383.75,1.0,0.0,0.0,0
7,2174,310.57,1.0,0.0,0.0,0
7,3010,430.0,1.0,0.0,0.0,0
7,2174,310.57,1.0,0.0,0.0,0
18,3285,182.5,0.0,1.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
9,3131,347.89,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
10,3548,354.8,0.7,0.3,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
10,2712,271.2,0.7,0.3,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
6,2109,351.5,1.0,0.0,0.0,0
5,2879,575.8,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
6,2945,490.83,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
7,2175,310.71,1.0,0.0,0.0,0
7,3011,430.14,1.0,0.0,0.0,0
