pps,bps,avg_size,tcp_ratio,udp_ratio,icmp_ratio,label
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
6,1790,298.33,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
7,1856,265.14,1.0,0.0,0.0,0
6,1465,244.17,1.0,0.0,0.0,0
